Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAA0-SIG-104,55GAA0-MTE-2503:TE-CRC,55GAA0-MTE-2503,A60 M1 thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-105,55GAA0-MTE-2504:TE-CRC,55GAA0-MTE-2504,A60 M1 thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-106,55GAA0-MZH-2503:ZH-CRC,55GAA0-MZH-2503,A60 M1 limit switch high,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-107,55GAA0-MZL-2503:ZL-CRC,55GAA0-MZL-2503,A60 M1 limit switch low,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-108,55GAA0-MZH-2504:ZH-CRC,55GAA0-MZH-2504,A60 M1 limit switch high,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-109,55GAA0-MZL-2504:ZL-CRC,55GAA0-MZL-2504,A60 M1 limit switch low,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-110,55GAA0-GM-2503:CR-CCC,55GAA0-GM-2503,A60 M1 motor A+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-111,55GAA0-GM-2503:CR-CCC,55GAA0-GM-2503,A60 M1 motor A-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-112,55GAA0-GM-2503:CR-CCC,55GAA0-GM-2503,A60 M1 motor B+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-113,55GAA0-GM-2503:CR-CCC,55GAA0-GM-2503,A60 M1 motor B-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
